小区,朝向,行政区,街区,房屋面积,卧室,客厅,厕所,楼层相对位置,楼层,发布时长,每月租金,经度,纬度,1000米内最近地铁站距离,1000米内最近公交车站距离,1000米内购物中心数量,1000米内公司数量,1000米内公园数量,1000米内医院数量,房屋类型,是否朝南
御上海青橙,西北,松江,松江大学城,37.5,1,1,1,中楼层,25,6,3650,121.240974,31.05730083,1,1,3,75,1,0,4,0
禹洲府,南/北,闵行,老闵行,76.86,2,1,1,低楼层,20,2,4700,121.385443,31.027252,3,1,2,33,0,0,4,1
东川花苑,南,闵行,老闵行,55.96,2,1,1,高楼层,6,6,3800,121.4324509,31.02227281,1,1,1,99,2,1,4,1
西镇小区(浦东),南,浦东,洋泾,57.99,2,1,1,高楼层,6,3,6000,121.556307,31.248126,1,1,2,82,2,2,4,1
四明邨,南,静安,静安寺,45.5,1,1,1,低楼层,3,1,5500,121.4600856,31.22736829,2,1,26,98,4,10,4,1
美豪怡致酒店,南,普陀,长寿路,42.6,1,1,1,中楼层,22,4,6500,121.4344203,31.23788605,1,1,8,102,0,5,4,1
永和二村,南,静安,永和,58.78,2,1,1,高楼层,6,4,5800,121.435704,31.298186,3,1,0,105,1,2,4,1
建中路126弄,南/西,浦东,张江,87,3,1,1,高楼层,6,1,7600,121.4865333,31.22551242,1,1,18,64,7,14,4,1
卢湾都市花园,南,黄浦,五里桥,112.24,2,2,1,低楼层,28,7,20800,121.4834999,31.20687697,1,1,7,84,2,13,4,1
新江湾城雍景苑,南,杨浦,新江湾城,102,2,1,1,低楼层,12,2,9800,121.5137219,31.33422462,1,1,1,25,2,0,4,1
保利叶语(一期)(公寓),东/南,宝山,顾村,115.4,4,2,2,低楼层,16,6,9000,121.3753166,31.34989223,1,1,2,70,4,3,4,1
东欣小区,南,浦东,潍坊,65.01,2,1,1,高楼层,25,1,9780,121.5294423,31.23159025,2,1,18,99,1,1,4,1
宝宸怡景园,南,宝山,共康,83.6,2,1,1,低楼层,14,3,7500,121.4416386,31.33768017,2,1,0,75,4,2,4,1
华阳中心苑,南/北,松江,松江老城,260.8,5,2,3,低楼层,2,2,9000,121.2705836,31.01057418,3,1,0,103,1,0,4,1
